语料ID,文本,产品名称,年份,产品ID,情感得分,出现频次,产品热度总分,产品热度,产品类型判断文本,产品类型
餐饮评论-1307,不错 家里 妹妹 喜欢 讲 很漂亮 味道 不错 感谢 商家 推荐 蛋糕 选约 磅 圆,清香面包店（车田街店）,2018,ID307,0.3235294117647059,125,375.6470588235294,0.0012631799927921093,餐饮评论-1307 不错 家里 妹妹 喜欢 讲 很漂亮 味道 不错 感谢 商家 推荐 蛋糕 选约 磅 圆,特色餐饮
餐饮评论-1308,没错 蓝色 近两年 好像 吃 这家 蛋糕 性价比 高 老板 热情 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,清香面包店（车田街店）,2018,ID308,0.3018867924528302,125,375.60377358490564,0.001263034438484872,餐饮评论-1308 没错 蓝色 近两年 好像 吃 这家 蛋糕 性价比 高 老板 热情 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,特色餐饮
餐饮评论-1355,话 说 老板 人好 细心 蛋糕 好吃 性价比 依旧 好评 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID355,0.2857142857142857,125,375.57142857142856,0.0012629256726289144,餐饮评论-1355 话 说 老板 人好 细心 蛋糕 好吃 性价比 依旧 好评 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1904,挺 好看 味道 行 奶油 不腻 水果 有点 酸 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2019,ID904,0.28205128205128205,125,375.56410256410254,0.0012629010376273514,餐饮评论-1904 挺 好看 味道 行 奶油 不腻 水果 有点 酸 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1013,太好了 太 好吃 老板 性价比 高 买 多次 蛋糕 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,清香面包店（车田街店）,2018,ID13,0.2631578947368421,125,375.5263157894737,0.0012627739728824476,餐饮评论-1013 太好了 太 好吃 老板 性价比 高 买 多次 蛋糕 芭比娃娃 卡通 蛋糕 水果 夹心 约 磅 圆,特色餐饮
餐饮评论-1310,一直 忘 评论 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,清香面包店（车田街店）,2018,ID310,0.23076923076923078,125,375.46153846153845,0.0012625561476054693,餐饮评论-1310 一直 忘 评论 好吃 水果 忌廉 夹心 蛋糕 一层 约 磅 圆,特色餐饮
餐饮评论-1315,非常 家里人 非常 喜欢 一点 不腻 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID315,0.21875,125,375.4375,0.0012624753140065906,餐饮评论-1315 非常 家里人 非常 喜欢 一点 不腻 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
餐饮评论-1289,好看 好吃 磅 水果 夹心 蛋糕 份,清香面包店（车田街店）,2018,ID289,0.16666666666666666,125,375.3333333333333,0.0012621250350781164,餐饮评论-1289 好看 好吃 磅 水果 夹心 蛋糕 份,特色餐饮
餐饮评论-1002,超级 好吃 老板 好量 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,清香面包店（车田街店）,2018,ID2,0.14814814814814814,125,375.2962962962963,0.0012620004914591035,餐饮评论-1002 超级 好吃 老板 好量 水果 忌廉 夹心 蛋糕 二层 约 磅 圆,特色餐饮
餐饮评论-1632,做出 想要 蛋糕 满意 满意 水果 忌廉 蛋糕 层个 约 磅 圆,清香面包店（车田街店）,2018,ID632,0.14285714285714285,125,375.2857142857143,0.0012619649075679567,餐饮评论-1632 做出 想要 蛋糕 满意 满意 水果 忌廉 蛋糕 层个 约 磅 圆,特色餐饮
