语料ID,文本,产品名称,年份,产品ID,情感得分,出现频次,产品热度总分,产品热度,产品类型判断文本,产品类型
餐饮评论-4213,牛排 好吃 菜品 丰富 出菜 及时 服务 热情 性价比 高赞 一个 贵族 自助 牛排 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID3213,0.4666666666666667,200,600.9333333333333,0.00024305605853601735,餐饮评论-4213 牛排 好吃 菜品 丰富 出菜 及时 服务 热情 性价比 高赞 一个 贵族 自助 牛排 套餐 建议 单人 使用,特色餐饮
餐饮评论-5892,真的 好吃 超级 味道 不错 服务 超级 上菜 很快 推荐 推荐 精品 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID4892,0.42424242424242425,200,600.8484848484849,0.00024302174035601955,餐饮评论-5892 真的 好吃 超级 味道 不错 服务 超级 上菜 很快 推荐 推荐 精品 浪漫 双人 餐份,特色餐饮
餐饮评论-4960,店内 环境 不错 干净 整洁 菜品 多样 丰富 味道 不错 服务员 非常 热情 下次 继续 光顾 贵族 自助 牛排 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID3960,0.36363636363636365,200,600.7272727272727,0.0002429727143845941,餐饮评论-4960 店内 环境 不错 干净 整洁 菜品 多样 丰富 味道 不错 服务员 非常 热情 下次 继续 光顾 贵族 自助 牛排 套餐 建议 单人 使用,特色餐饮
餐饮评论-7275,好吃 喜欢 韩式 炸鸡 选 提供 免费,Hello炸鸡（方兴店）,2021,ID6275,0.35714285714285715,200,600.7142857142857,0.00024296746160194134,餐饮评论-7275 好吃 喜欢 韩式 炸鸡 选 提供 免费,特色餐饮
餐饮评论-4020,菜品 不错 丰富 多样 黄金 鱼排 我滴 最爱 好吃 贵族 牛排 高级 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID3020,0.35,200,600.7,0.00024296168354102338,餐饮评论-4020 菜品 不错 丰富 多样 黄金 鱼排 我滴 最爱 好吃 贵族 牛排 高级 套餐 建议 单人 使用,特色餐饮
餐饮评论-6905,好吃 服务 分量 足 环境 非常 满意 超值 人餐 包间 免费,椒王火锅（电白店）,2021,ID5905,0.35,200,600.7,0.00024296168354102338,餐饮评论-6905 好吃 服务 分量 足 环境 非常 满意 超值 人餐 包间 免费,特色餐饮
餐饮评论-5822,差评 态度 差 超级 差无有 回头 下次 现 烤羊肉 乌苏 套餐 建议 使用,草原郎烤羊,2021,ID4822,0.30303030303030304,200,600.6060606060606,0.00024292368841316862,餐饮评论-5822 差评 态度 差 超级 差无有 回头 下次 现 烤羊肉 乌苏 套餐 建议 使用,特色餐饮
餐饮评论-7625,小姐姐 服务 好好 点赞 下次 还会 太 喜欢 贵族 自助 牛排 套餐,贵族自助牛排餐厅（华侨城店）,2021,ID6625,0.3,200,600.6,0.00024292123711459735,餐饮评论-7625 小姐姐 服务 好好 点赞 下次 还会 太 喜欢 贵族 自助 牛排 套餐,特色餐饮
餐饮评论-5461,主要 孩纸 喜欢 收 碟子 快 送餐 服务员 态度 贵族 牛排 高级 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID4461,0.2916666666666667,200,600.5833333333334,0.00024291449604352638,餐饮评论-5461 主要 孩纸 喜欢 收 碟子 快 送餐 服务员 态度 贵族 牛排 高级 套餐 建议 单人 使用,特色餐饮
餐饮评论-7624,口味 服务 确实 热情 环境 特别 算是 吃 火锅 环境 最好 灯光 没有 亮 舒服 超值 人餐 包间 免费,椒王火锅（电白店）,2021,ID6624,0.2894736842105263,200,600.578947368421,0.00024291272207745503,餐饮评论-7624 口味 服务 确实 热情 环境 特别 算是 吃 火锅 环境 最好 灯光 没有 亮 舒服 超值 人餐 包间 免费,特色餐饮
餐饮评论-7401,上菜 快 味道 中 坏境 优美 总结 不错 值得 精品 浪漫 双人 餐份,法兰度航空主题餐厅（东汇城店）,2021,ID6401,0.2857142857142857,200,600.5714285714286,0.00024290968099276134,餐饮评论-7401 上菜 快 味道 中 坏境 优美 总结 不错 值得 精品 浪漫 双人 餐份,特色餐饮
餐饮评论-4461,第一次 环境 不错 够 宽敞 上菜 速度快 服务 不错 海鲜 种类 挺 性价比 算 下次 还来 贵族 自助 牛排 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID3461,0.2857142857142857,200,600.5714285714286,0.00024290968099276134,餐饮评论-4461 第一次 环境 不错 够 宽敞 上菜 速度快 服务 不错 海鲜 种类 挺 性价比 算 下次 还来 贵族 自助 牛排 套餐 建议 单人 使用,特色餐饮
餐饮评论-3568,朋友 推荐 爱 爱 物超所值 光 吃海鲜 吃饱 服务 超赞 限时 值得 贵族 自助 牛排 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID2568,0.28205128205128205,200,600.5641025641025,0.00024290671788459827,餐饮评论-3568 朋友 推荐 爱 爱 物超所值 光 吃海鲜 吃饱 服务 超赞 限时 值得 贵族 自助 牛排 套餐 建议 单人 使用,特色餐饮
餐饮评论-4992,环境 不错 觉得 热 白天 比较 少 适合 朋友 晚上 撸 串 聚会 噢 说真的 这家 很多 家 好吃 肉 一如既往 新鲜 嚼 劲 一块 肉 厚实 加 辣椒 太 好吃 物超所值 性价比 真的 高 老板 态度 哈哈哈 套餐 人现 烤羊肉 套餐 人现 烤羊肉 套餐,草原郎烤羊,2021,ID3992,0.2804878048780488,200,600.560975609756,0.00024290545314330914,餐饮评论-4992 环境 不错 觉得 热 白天 比较 少 适合 朋友 晚上 撸 串 聚会 噢 说真的 这家 很多 家 好吃 肉 一如既往 新鲜 嚼 劲 一块 肉 厚实 加 辣椒 太 好吃 物超所值 性价比 真的 高 老板 态度 哈哈哈 套餐 人现 烤羊肉 套餐 人现 烤羊肉 套餐,特色餐饮
餐饮评论-4065,环境 比较 清新 优雅 服务 热情 菜品 种类 挺 丰富 麻辣烫 甜品 寿司 特别 喜欢 家 麻辣味 小龙虾 水煮 肉片 酸菜鱼 超级 美味 遗憾 每次 螃蟹 没 抢 很值 下次 继续 光顾 贵族 自助 牛排 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID3065,0.28,200,600.56,0.00024290505854402693,餐饮评论-4065 环境 比较 清新 优雅 服务 热情 菜品 种类 挺 丰富 麻辣烫 甜品 寿司 特别 喜欢 家 麻辣味 小龙虾 水煮 肉片 酸菜鱼 超级 美味 遗憾 每次 螃蟹 没 抢 很值 下次 继续 光顾 贵族 自助 牛排 套餐 建议 单人 使用,特色餐饮
餐饮评论-5589,不错 用餐 愉快 值得 推荐 贵族 自助 牛排 套餐 建议 单人 使用,贵族自助牛排餐厅（华侨城店）,2021,ID4589,0.2777777777777778,200,600.5555555555555,0.00024290326092507467,餐饮评论-5589 不错 用餐 愉快 值得 推荐 贵族 自助 牛排 套餐 建议 单人 使用,特色餐饮
