语料ID,文本,产品名称,年份,产品ID
餐饮评论-1001,"很好吃推荐！
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID1
餐饮评论-1002,"超级好吃 老板又好  量又多
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2018,ID2
餐饮评论-1003,"好吃，不得不说比门口正对面那家好吃。服务态度也好。炸的皮松软，不会炸得很硬。
小吃6选1，提供免费WiFi",功夫鸡排（光华北路店）,2018,ID3
餐饮评论-1004,"品种少，冷冻食品多。 7点就不再出食物，难以接受。
自助晚餐（浪漫海岸跨年音乐节）",茂名浪漫海岸温德姆酒店望海餐厅,2018,ID4
餐饮评论-1005,"味道不错，至少吃起来不腻，并且全家7个人吃还是挺多的了，就比较实惠咯
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2018,ID5
餐饮评论-1006,"蛋糕香喉，奶油嫩滑，水果新鲜！超赞！到店买的抹茶慕斯蛋糕，榴莲蛋糕更是唇齿留香、回味无穷！
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID6
餐饮评论-1007,"芒果好酸好生啊，看起来黄黄的应该挺甜的，实际好酸。。。
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID7
餐饮评论-1008,"蛋糕很漂亮也非常好吃，奶油很厚不腻
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",清香面包店（车田街店）,2018,ID8
餐饮评论-1009,"很好，一直都有在吃他家的东西，紫菜卷很好吃
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID9
餐饮评论-1010,"来了好多次了，饭菜都适合我的口味，不错的快餐，值得推荐！还会再来
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID10
餐饮评论-1011,"榴莲千层没什么榴莲味，而且不新鲜，那点榴莲肉有杂物黑色的
榴莲千层/榴莲雪媚娘2选1",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018,ID11
餐饮评论-1012,"还好吧。。。也不算贵也不算便宜…………
榴莲千层/榴莲雪媚娘2选1",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018,ID12
餐饮评论-1013,"太好了  太好吃  老板好  性价比高  在这买了很多次蛋糕
芭比娃娃卡通蛋糕（水果夹心）1个，约1.5磅，圆",清香面包店（车田街店）,2018,ID13
餐饮评论-1014,"不厚道，一会过来，就成别人的了
小吃6选1，提供免费WiFi",功夫鸡排（光华北路店）,2018,ID14
餐饮评论-1015,"很大油烟味，寿司很少！！！！！
超值寿司套餐，建议3-4人使用",鲜饮时光（高州店）,2018,ID15
餐饮评论-1016,"不错，味道还可以，就是放太多辣椒了
纸上烤鱼1份，提供免费WiFi",喜相逢渝洲川菜酒楼（东方大道店）,2018,ID16
餐饮评论-1017,"不错，很好吃，就是辣了一点，其他还行
正宗重庆烤鱼（约3斤）1份",喜相逢渝洲川菜酒楼（东方大道店）,2018,ID17
餐饮评论-1018,"味道不错，上菜速度快，价格公道
2-3人美味餐，提供免费WiFi",驰名湘菜馆,2018,ID18
餐饮评论-1019,"15块钱的味道和大小跟8.8的一样
榴莲千层蛋糕（土豪版）1份",甜在心扉千层蛋糕（茂名店）,2018,ID19
餐饮评论-1020,"蛋糕还行
芒果组合套餐，建议单人使用",果之度（迎宾三路店）,2018,ID20
餐饮评论-1021,"我要的是招牌套餐，服务员给我原味的，价格不一样，感觉被忽悠了，这样很不爽。
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID21
餐饮评论-1022,"好吃，2磅还能送货，就是刀碎了，应该是压坏了吧
栗子蛋糕1个，约2磅，圆",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018,ID22
餐饮评论-1023,"没有给酱，没什么味道，番茄酱沙拉酱都没有
日式鸡柳卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID23
餐饮评论-1024,"很好，好看又好吃！还送货上门！真心感谢帅哥老板！
水果忌廉蛋糕（3层）1个，约8磅，圆",清香面包店（车田街店）,2018,ID24
餐饮评论-1025,"态度差，服务态度有待提高，蛋糕味道还行！
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",甜在心扉千层蛋糕（茂名店）,2018,ID25
餐饮评论-1026,"我是回头客，又是点叉烧饭，特别好吃，分量十足，还给我来了两碗例汤，没有因为我是美团客而减少分量，服务阿姨很周到，特别的热情，令人有一种在家的感觉，回味无穷，让人流连忘返，下次还会光顾，真的太好吃了！！！ #叉烧饭# #烧鹅饭# #烧鸭饭，# #烧鸭饭# #青菜#
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID26
餐饮评论-1027,"叉烧饭很好吃，合我口味，环境不错！
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID27
餐饮评论-1028,"上次吃了豆乳，这次看到芒果也留口水，买了试试。芒果好吃，整个盒子吃起来甜而不腻，口腔充满芒果香味，好吃！
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID28
餐饮评论-1029,"我买了两个豆乳盒子，很好吃，又香，感觉很细腻，甜度刚刚好！很喜欢吃，一下子消灭了两个，当晚餐了
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID29
餐饮评论-1030,"在店里买了豆乳盒子立即就试吃了，非常好吃的植物奶油水果盒子！赶紧又美团了二个！
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID30
餐饮评论-1031,"芒果盒子非常好吃，芒果清甜、奶油一点也不腻！超喜欢，感谢店家的美食！
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID31
餐饮评论-1032,"不错，好好味！
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID32
餐饮评论-1033,"不错，好好味！
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID33
餐饮评论-1034,"不错，好好味！
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID34
餐饮评论-1035,"不错，好好味！
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID35
餐饮评论-1036,"不错，好好味！
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID36
餐饮评论-1037,"难吃死了。差差差差。。。。。。
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",甜在心扉千层蛋糕（茂名店）,2018,ID37
餐饮评论-1038,"让写上字也没写，榴莲极少，偏甜，不好吃。
榴莲千层蛋糕，约2磅，8寸1份",甜在心扉千层蛋糕（茂名店）,2018,ID38
餐饮评论-1039,"嫩滑不腻的奶油，香甜的芒果蛋糕，很赞！多次回购！儿子很喜欢这家奥尔良西多士，很……好吃！全五分支持！期待更多新品。
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID39
餐饮评论-1040,"蛋糕新鲜好吃，尤其是雪棒和抹茶慕斯。
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID40
餐饮评论-1041,"还行吧，回头客了。
北海道八爪鱼1份",小乔紫菜卷（小乔店）,2018,ID41
餐饮评论-1042,"挺好的哇 男票说很好吃 一直说他学校对面有一家手卷很好吃 要带我去 一直没机会 今晚就给他订了这个当晚饭嘻嘻
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID42
餐饮评论-1043,"做得挺大份的，但是拿回来后一打开菜好少。都是水同配菜。
2-3人美味餐，提供免费WiFi",驰名湘菜馆,2018,ID43
餐饮评论-1044,"蛋糕还可以，但是这么光秃秃的，不说装饰了，连个生日快乐牌都没有，呵呵了，心情都减半
榴莲千层蛋糕，约2磅，8寸1份",甜在心扉千层蛋糕（茂名店）,2018,ID44
餐饮评论-1045,"以为好大的，结果失望了……分量应该不够
土豪版超多榴莲千层蛋糕(5层榴莲果肉)约4.5磅1份",甜在心扉千层蛋糕（茂名店）,2018,ID45
餐饮评论-1046,"还不错，买的土豪版，味道很足很好吃，普通版没吃过，比较推荐买这个土豪版
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",甜在心扉千层蛋糕（茂名店）,2018,ID46
餐饮评论-1047,"好吃！第三次去吃了，孩子也爱吃
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID47
餐饮评论-1048,"说实话这次买的奶油不够，榴莲不够，冰特别多，感觉又不新鲜，不满意，价钱也没便宜到哪里去。如果是八块九块也就认了，一分钱一分货，但是15块这么一块，就真的失望了，那次后再也没回头买过这家了
榴莲千层蛋糕（土豪版）1份",甜在心扉千层蛋糕（茂名店）,2018,ID48
餐饮评论-1049,"味道很清新，图案灵动可爱，儿子很喜欢
蛋糕2选1,约8英寸，圆形",优之品西点,2018,ID49
餐饮评论-1050,"榴莲蛋糕很好吃，那个脏脏包就很………………
约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形",甜在心扉千层蛋糕（茂名店）,2018,ID50
餐饮评论-1051,"实惠，店面最近扩大了，挺不错的
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID51
餐饮评论-1052,"还没吃呢，不过卖相不错。哈哈。。。。
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID52
餐饮评论-1053,"老板们很热情，很舒服的沙发，环境很不错。饮品也不错，很喜欢。赞赞赞
饮品6选1，提供免费WiFi",爱可咖啡馆（茂南店）,2018,ID53
餐饮评论-1054,"就是好
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID54
餐饮评论-1055,"好
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID55
餐饮评论-1056,"非常
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID56
餐饮评论-1057,"又来了
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID57
餐饮评论-1058,"还不错，很香甜。一次性买了6个！！！
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID58
餐饮评论-1059,"回头客
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID59
餐饮评论-1060,"蛋糕好漂亮，味道也好，口感很绵滑，她家店的面包也很好吃…(罒)
蛋糕8选1",优之品西点,2018,ID60
餐饮评论-1061,"味道不错量也挺足的，当时好像还赠了饮料。
小吃6选1，提供免费WiFi",功夫鸡排（光华北路店）,2018,ID61
餐饮评论-1062,"菜少了一点，不够吃，比其它地方少
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID62
餐饮评论-1063,"环境很棒，东南亚风情比得上泰国游的星级酒店。套餐分量比较足，而且不粗糙，口味还算不错，若是追求高品质的可能会觉得不和口味，给5分好评。温馨提示，方圆20公里基本上没吃的，性价比这里绝对超值，上图……
奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份",茂名浪漫海岸温德姆酒店望海餐厅,2018,ID63
餐饮评论-1064,"老板娘态度很好，熟客了，东西新鲜！好吃
榴莲千层/榴莲雪媚娘2选1",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018,ID64
餐饮评论-1065,"朋友很喜欢这里的紫菜卷，还不错的宵夜之选
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID65
餐饮评论-1066,"朋友喜欢吃这里的紫菜卷 #原味奶茶#
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID66
餐饮评论-1067,"朋友很喜欢这里的东西，这里的饮品还不错
美味单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID67
餐饮评论-1068,"朋友很喜欢这里的东西，个人觉得有点腻
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID68
餐饮评论-1069,"我以为这个季节的榴莲不甜不好吃，拿回来试了一下，结果打脸了，奶油和榴莲的比例刚刚好，不油不腻，真心好吃
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",甜在心扉千层蛋糕（茂名店）,2018,ID69
餐饮评论-1070,"不错喔
双人超值饮品套餐，包间免费",爱丽丝音乐餐吧,2018,ID70
餐饮评论-1071,"家人说味道还不错，就是麻将太小了，有点尴尬
蛋糕12选1,约10英寸，圆形",丰年面包店（茂南区店）,2018,ID71
餐饮评论-1072,"好吃！榴莲披萨太香太好吃了，芝士也很香！比必胜客好吃多了，新开的店就在楼下，女儿很爱吃。
超值单人套餐，包间免费",尊霸披萨,2018,ID72
餐饮评论-1073,"太小了，味道还行，团购便宜。值得品尝
榴莲千层切糕1份",果之度（迎宾三路店）,2018,ID73
餐饮评论-1074,"好吃，全家的榴莲千层指定购买店
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",甜在心扉千层蛋糕（茂名店）,2018,ID74
餐饮评论-1075,"一如既往支持本店紫菜卷，量多，好味
紫菜肉松卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID75
餐饮评论-1076,"上菜慢，味道一般，冲着酸菜鱼去的，一点酸味都没，在图上见到几块鱼就几块。。。
2-3人经典餐，提供免费WiFi",驰名湘菜馆,2018,ID76
餐饮评论-1077,"店主免费送货上门，蛋糕好吃，分量足，一天没吃完，放到第二天也很好吃！很实惠，四个人一次都吃不完！很满意！
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",清香面包店（车田街店）,2018,ID77
餐饮评论-1078,"栗子蛋糕挺好吃的，因为太激动所以没有拍照片一下子吃光了，然后服务态度也挺好，接电话的人声音挺好听的
2磅栗子蓉蛋糕1+2磅卡通蛋糕1",丰年面包店（茂南区店）,2018,ID78
餐饮评论-1079,"美美哒！便宜又好吃！已经是第二次买啦…下次再来
蛋糕7选1",优之品西点,2018,ID79
餐饮评论-1080,"很好吃，口感不错，位置很好找！
蛋糕2选1，提供免费WiFi",优之品西点,2018,ID80
餐饮评论-1081,"这里的紫菜卷非常的好吃卫生挺干净多
蟹柳海草紫菜卷1份",小乔紫菜卷（小乔店）,2018,ID81
餐饮评论-1082,"好喜欢吃这家的蛋糕，
约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形",甜在心扉千层蛋糕（茂名店）,2018,ID82
餐饮评论-1083,"老板们超级好，超级温柔的小姐姐。很喜欢这里，很舒服。饮品也好喝。赞
饮品6选1，提供免费WiFi",爱可咖啡馆（茂南店）,2018,ID83
餐饮评论-1084,"味道感觉比以前差点了，老板的笑容什么时候都没见有的。
蟹柳海草紫菜卷1份",小乔紫菜卷（小乔店）,2018,ID84
餐饮评论-1085,"一般般，期待服务还需要提高些。
日式蟹肉卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID85
餐饮评论-1086,"有点小啊。比我那个三磅的小好多。
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",甜在心扉千层蛋糕（茂名店）,2018,ID86
餐饮评论-1087,"好食，味道唔错，我选的青椒味，很鲜的感觉，麻麻的，环境也好，干净温馨，居然有九只口味，那个百香果汁好好饮，三个人去食好抵手，还会再来
2-3人超值套餐",渔乐码头烤鱼牛蛙晚饭餐厅,2018,ID87
餐饮评论-1088,"服务好差，叫美团都不送的，也不打电话告知一声
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID88
餐饮评论-1089,"比较贵吧，味道不错，性价比不高，。。。
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2018,ID89
餐饮评论-1090,"超好
小吃6选1，提供免费WiFi",功夫鸡排（光华北路店）,2018,ID90
餐饮评论-1091,"还行 挺好吃的
小吃6选1，提供免费WiFi",功夫鸡排（光华北路店）,2018,ID91
餐饮评论-1092,"多肉版的榴莲千层超棒，味道很好，榴莲味很浓。榴莲肉真的好多，吃起来好满足！如果团购再便宜一点就好了！
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",甜在心扉千层蛋糕（茂名店）,2018,ID92
餐饮评论-1093,"好地方但是消费较高 。。。。。。
爱可轰趴包场套餐1小时",爱可咖啡馆（茂南店）,2018,ID93
餐饮评论-1094,"因为急要，临时催单的，店家也尽量赶出给我，真感谢，辛苦了！价廉物美，甜度适中，非常适合。
4磅水果夹心蛋糕1个，约10英寸，圆",丰年面包店（茂南区店）,2018,ID94
餐饮评论-1095,"土豪加料很足，不错，以后就这家了
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",甜在心扉千层蛋糕（茂名店）,2018,ID95
餐饮评论-1096,"很多东西都真的很好吃 而且环境很好 适合小聚带男朋友去也挺好的哈哈 #西冷牛排# #肉酱意面# #鸡扒# #卡布奇诺# #西冷#
饮品6选1，提供免费WiFi",爱可咖啡馆（茂南店）,2018,ID96
餐饮评论-1097,"很好吃，我很喜欢，下次和朋友一起去
蟹柳海草紫菜卷1份",小乔紫菜卷（小乔店）,2018,ID97
餐饮评论-1098,"菜都挺有特色的环境也很卫生就是麦太烂了
爱可轰趴包场套餐1小时",爱可咖啡馆（茂南店）,2018,ID98
餐饮评论-1099,"草莓味的miss kitty
双人超值鸡尾酒套餐，包间免费",爱丽丝音乐餐吧,2018,ID99
餐饮评论-1100,"味道不错颜色不错老板不错环境不错
榴莲千层切件+粒粒芒果爽，建议单人使用",果之度（迎宾三路店）,2018,ID100
餐饮评论-1101,"#芒果寿司# #三文鱼厚切# #有机蔬菜沙拉# #寿司#
双人餐，提供免费WiFi",瀛食精致料理,2018,ID101
餐饮评论-1102,"好评
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID102
餐饮评论-1103,"好评
主食3选1，有赠品",盛香烧鹅（东方市场店）,2018,ID103
餐饮评论-1104,"奶茶太甜，紫菜卷味道一般，估计下次不会选择消费了。
甜品2选1，提供免费WiFi",小乔紫菜卷（小乔店）,2018,ID104
餐饮评论-1105,"二楼环境不错，个人觉得套餐A比较好吃，比较合本人胃口，总体不错
超值寿司套餐，建议3-4人使用",鲜饮时光（高州店）,2018,ID105
餐饮评论-1106,"这个套餐我觉得是最好吃的，推荐一下
双人餐A1份，提供免费WiFi",鲜饮时光（高州店）,2018,ID106
餐饮评论-1107,"饮料还可以，也挺多柠檬的，就是到后面有点苦
金桔柠檬1份，提供免费WiFi",鲜饮时光（高州店）,2018,ID107
